Items in order,lemmatized_text
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Animal Fries",x fried chicken angara tender x animal fry
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Grilled Chicken Angara Tender, 1 x Angara Aloo Tuk Tuki, 1 x Grilled Chicken Jamaican Tender, 1 x Salted Krispers",x grilled chicken angara tender x angara aloo tuk tuki x grilled chicken jamaican tender x salted krispers
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone peri peri grilled chicken x bone jamaican grilled chicken
"1 x Fried Chicken Angara Tender, 1 x Bone in Kabuli Grilled Chicken",x fried chicken angara tender x bone kabuli grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Fried Chicken Peri Peri Tender,x fried chicken peri peri tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Angara Aloo Tuk Tuki, 1 x Onion Bombs",x bone peri peri grilled chicken x angara aloo tuk tuki x onion bomb
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken jamaican tender x grilled chicken angara tender x grilled chicken ghostbuster tangdi x bone peri peri grilled chicken
1 x Grilled Chicken Smoky BBQ Tangdi,x grilled chicken smoky bbq tangdi
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x AAC Special Slaw, 1 x Angara Rice",x aac special slaw x angara rice
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Angara Tender,x grilled chicken angara tender
1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries,x fried chicken peri peri tender peri peri fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone jamaican grilled chicken x bone kabuli grilled chicken
1 x Animal Fries,x animal fry
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Animal Fries,x animal fry
"1 x Animal Fries, 1 x Fried Chicken Angara Tender, 1 x AAC Signature Krispers",x animal fry x fried chicken angara tender x aac signature krispers
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Jamaican Tangdi",x bone peri peri grilled chicken x grilled chicken jamaican tangdi
"1 x Grilled Chicken Jamaican Tender, 1 x Salted Fries",x grilled chicken jamaican tender x salted fry
1 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
1 x Animal Fries,x animal fry
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Onion Bombs",x fried chicken peri peri tender x onion bomb
"1 x Peri Peri Krispers, 1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Angara Tender",x peri peri krispers x fried chicken peri peri tender x grilled chicken angara tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Grilled Chicken Angara Tender",x bone jamaican grilled chicken x grilled chicken angara tender
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Peri Peri Grilled Chicken",x grilled chicken jamaican tender x bone peri peri grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Angara Tender, 2 x Salted Krispers",x fried chicken classic tender x fried chicken angara tender x salted krispers
"1 x Grilled Chicken Jamaican Tender, 1 x AAC Signature Krispers, 1 x Grilled Chicken Smoky BBQ Tangdi",x grilled chicken jamaican tender x aac signature krispers x grilled chicken smoky bbq tangdi
"1 x Tipsy Tiger Ginger Ale, 1 x Bone in Jamaican Grilled Chicken, 1 x Indian Pico De-Gallo",x tipsy tiger ginger ale x bone jamaican grilled chicken x indian pico degallo
1 x Grilled Chicken Peri Peri Tangdi,x grilled chicken peri peri tangdi
1 x AAC Saucy Fries,x aac saucy fry
"1 x Chilli Cheese Garlic Bread, 1 x Herbed Potato",x chilli cheese garlic bread x herbed potato
1 x Bageecha Pizza,x bageecha pizza
1 x Cheesy Garlic Bread,x cheesy garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x All About Chicken Pizza, 1 x Bageecha Pizza",x chilli cheese garlic bread x chicken pizza x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Masala Paneer Pide,x masala paneer pide
1 x Grilled Tangdis,x grilled tangdis
"1 x Mushroom Pizza, 1 x Bageecha Pizza, 1 x Indian Masala Fries",x mushroom pizza x bageecha pizza x indian masala fry
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Indian Masala Fries, 1 x Chilli Cheese Garlic Bread",x indian masala fry x chilli cheese garlic bread
1 x Bageecha Pizza,x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Masala Paneer Pide, 1 x Chilli Cheese Garlic Bread",x masala paneer pide x chilli cheese garlic bread
1 x Margherita Pizza,x margherita pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Tripple Cheese Pizza, 1 x Makhani Paneer Pizza",x tripple cheese pizza x makhani paneer pizza
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
1 x Mushroom Pizza,x mushroom pizza
1 x Tripple Cheese Pizza,x tripple cheese pizza
1 x Masala Paneer Pide,x masala paneer pide
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x All About Chicken Pizza, 1 x Peri Peri Fries, 1 x Fried Chicken Strips",x chicken pizza x peri peri fry x fried chicken strip
"1 x Jamaican Chicken Melt, 1 x Cheesy Garlic Bread, 1 x All About Chicken Pizza",x jamaican chicken melt x cheesy garlic bread x chicken pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Bageecha Pizza",x murgh amritsari seekh pizza x bageecha pizza
"1 x All About Chicken Pizza, 1 x Bageecha Pizza",x chicken pizza x bageecha pizza
1 x Masala Paneer Pide,x masala paneer pide
"1 x Fried Chicken Strips, 1 x Chilli Cheese Garlic Bread",x fried chicken strip x chilli cheese garlic bread
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Iced Green Tea - Peach",x murgh amritsari seekh pide x iced green tea peach
1 x Herbed Potato,x herbed potato
3 x Grilled Tangdis,x grilled tangdis
"1 x Tripple Cheese Pizza, 1 x Salted Fries",x tripple cheese pizza x salted fry
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Cheesy Garlic Bread, 1 x Tipsy Tiger Fresh Lime Soda, 1 x Herbed Potato",x cheesy garlic bread x tipsy tiger fresh lime soda x herbed potato
1 x Jamaican Chicken Melt,x jamaican chicken melt
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Tipsy Tiger Ginger Ale, 1 x Jamaican Chicken Melt",x tipsy tiger ginger ale x jamaican chicken melt
1 x Murgh Amritsari Seekh Melt,x murgh amritsari seekh melt
"1 x Chilli Cheese Garlic Bread, 1 x Makhani Paneer Pizza",x chilli cheese garlic bread x makhani paneer pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Mushroom Pizza,x mushroom pizza
"1 x Peri Peri Fries, 1 x Peri Peri Paneer Melt",x peri peri fry x peri peri paneer melt
"1 x Bageecha Pizza, 1 x Herbed Potato",x bageecha pizza x herbed potato
"1 x Murgh Amritsari Garlic Bread, 1 x Peri Peri Fries, 1 x Chicken Pepperoni Pizza",x murgh amritsari garlic bread x peri peri fry x chicken pepperoni pizza
"1 x Chilli Cheese Garlic Bread, 1 x Makhani Paneer Pizza",x chilli cheese garlic bread x makhani paneer pizza
1 x Just Pepperoni Pizza,x pepperoni pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Margherita Pizza, 1 x Indian Pico De-Gallo",x murgh amritsari seekh pizza x margherita pizza x indian pico degallo
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"2 x Herbed Potato, 1 x Bageecha Pizza",x herbed potato x bageecha pizza
"1 x OG Cheese Pide, 1 x Salted Fries",x og cheese pide x salted fry
2 x Cheesy Garlic Bread,x cheesy garlic bread
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x Peri Peri Grilled Chicken Pizza,x peri peri grilled chicken pizza
"1 x Chilli Cheese Garlic Bread, 1 x Peri Peri Fries",x chilli cheese garlic bread x peri peri fry
"1 x Mushroom Pizza, 1 x Bageecha Pizza, 1 x Masala Potato Pide",x mushroom pizza x bageecha pizza x masala potato pide
1 x All About Chicken Pizza,x chicken pizza
1 x Bellpepper Onion Pizza,x bellpepper onion pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x All About Chicken Pizza,x chicken pizza
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Harisa Mayo, 1 x Cheesy Garlic Bread, 1 x Peri Peri Chicken Melt, 1 x Garlic Aioli, 1 x Murgh Amritsari Seekh Melt, 1 x Margherita Pizza",x harisa mayo x cheesy garlic bread x peri peri chicken melt x garlic aioli x murgh amritsari seekh melt x margherita pizza
"1 x Harisa Mayo, 1 x Jamaican Chicken Melt",x harisa mayo x jamaican chicken melt
1 x All About Chicken Pizza,x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Bageecha Pizza, 1 x Herbed Potato",x bageecha pizza x herbed potato
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Herbed Potato, 1 x Just Pepperoni Pizza",x herbed potato x pepperoni pizza
"1 x Cheesy Garlic Bread, 1 x Bageecha Pizza",x cheesy garlic bread x bageecha pizza
"1 x Bageecha Pizza, 1 x Cheesy Garlic Bread, 1 x Peri Peri Grilled Chicken Pizza",x bageecha pizza x cheesy garlic bread x peri peri grilled chicken pizza
"1 x Grilled Tangdis, 1 x Peri Peri Fries, 1 x Herbed Potato, 1 x All About Chicken Pizza",x grilled tangdis x peri peri fry x herbed potato x chicken pizza
1 x Bageecha Pizza,x bageecha pizza
"1 x Tipsy Tiger Fresh Lime Soda, 2 x Tipsy Tiger Ginger Ale, 1 x Desi Pepperoni Pizza",x tipsy tiger fresh lime soda x tipsy tiger ginger ale x desi pepperoni pizza
1 x Peanut Butter Chocolate Pide,x peanut butter chocolate pide
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli cheese garlic bread
"1 x Just Pepperoni Pizza, 2 x Grilled Tangdis, 1 x Bageecha Pizza",x pepperoni pizza x grilled tangdis x bageecha pizza
1 x Masala Paneer Pide,x masala paneer pide
"1 x Herbed Potato, 1 x Garlic Aioli",x herbed potato x garlic aioli
1 x Herbed Potato,x herbed potato
"1 x Murgh Amritsari Garlic Bread, 1 x Malai Gud Pide",x murgh amritsari garlic bread x malai gud pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Murgh Amritsari Seekh Pide, 1 x OG Cheese Pide, 1 x Garlic Aioli",x cheesy garlic bread x murgh amritsari seekh pide x og cheese pide x garlic aioli
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Margherita Pizza,x margherita pizza
"1 x Chilli Cheese Garlic Bread, 1 x Indian Masala Fries",x chilli cheese garlic bread x indian masala fry
1 x All About Chicken Pizza,x chicken pizza
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
"2 x Peri Peri Paneer Pizza, 2 x Bageecha Pizza",x peri peri paneer pizza x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x Cheesy Garlic Bread, 1 x Peri Peri Paneer Pizza, 1 x Bellpepper Onion Pizza, 1 x Tripple Cheese Pizza, 1 x All About Chicken Pizza",x chilli cheese garlic bread x cheesy garlic bread x peri peri paneer pizza x bellpepper onion pizza x tripple cheese pizza x chicken pizza
2 x Salted Fries,x salted fry
"1 x All About Chicken Pizza, 1 x Peri Peri Grilled Chicken Pizza",x chicken pizza x peri peri grilled chicken pizza
"1 x All About Chicken Pizza, 1 x Margherita Pizza",x chicken pizza x margherita pizza
"1 x Margherita Pizza, 2 x Cheesy Garlic Bread",x margherita pizza x cheesy garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Masala Paneer Pide",x chilli cheese garlic bread x masala paneer pide
2 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
"1 x Chilli Cheese Garlic Bread, 1 x Masala Paneer Pide",x chilli cheese garlic bread x masala paneer pide
"1 x Murgh Amritsari Seekh Pide, 1 x All About Chicken Pizza",x murgh amritsari seekh pide x chicken pizza
"2 x Margherita Pizza, 2 x Salted Fries",x margherita pizza x salted fry
"1 x Just Pepperoni Pizza, 1 x Bageecha Pizza",x pepperoni pizza x bageecha pizza
"1 x OG Cheese Pide, 1 x Masala Paneer Pide",x og cheese pide x masala paneer pide
"2 x Herbed Potato, 1 x All About Chicken Pizza, 1 x Murgh Amritsari Seekh Pizza",x herbed potato x chicken pizza x murgh amritsari seekh pizza
"1 x Masala Paneer Pide, 1 x OG Cheese Pide",x masala paneer pide x og cheese pide
"1 x All About Chicken Pizza, 1 x Makhani Paneer Pizza",x chicken pizza x makhani paneer pizza
"1 x Makhani Paneer Pizza, 1 x Mushroom Pizza",x makhani paneer pizza x mushroom pizza
2 x Masala Potato Pide,x masala potato pide
"1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Seekh Pide",x chilli cheese garlic bread x murgh amritsari seekh pide
"1 x Masala Paneer Pide, 1 x Murgh Amritsari Seekh Pide",x masala paneer pide x murgh amritsari seekh pide
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",x jamaican chicken melt x murgh amritsari seekh melt
"1 x Murgh Amritsari Seekh Melt, 1 x Jamaican Chicken Melt",x murgh amritsari seekh melt x jamaican chicken melt
"1 x Murgh Amritsari Seekh Melt, 1 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
"1 x Indian Masala Fries, 1 x Peri Peri Fries, 1 x Malai Gud Pide, 1 x All About Chicken Pizza",x indian masala fry x peri peri fry x malai gud pide x chicken pizza
"1 x Mushroom Pizza, 1 x Bageecha Pizza",x mushroom pizza x bageecha pizza
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",x jamaican chicken melt x murgh amritsari seekh melt
"1 x All About Chicken Pizza, 1 x Just Pepperoni Pizza",x chicken pizza x pepperoni pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Murgh Amritsari Seekh Pide",x murgh amritsari seekh melt x murgh amritsari seekh pide
"1 x Margherita Pizza, 1 x Murgh Amritsari Seekh Pide",x margherita pizza x murgh amritsari seekh pide
"1 x Just Pepperoni Pide, 1 x Murgh Amritsari Seekh Pide",x pepperoni pide x murgh amritsari seekh pide
"1 x Spinach Sumac Pide, 1 x Murgh Amritsari Seekh Pide",x spinach sumac pide x murgh amritsari seekh pide
"1 x Murgh Amritsari Garlic Bread, 1 x Murgh Amritsari Seekh Pide",x murgh amritsari garlic bread x murgh amritsari seekh pide
"1 x Bageecha Pizza, 1 x Margherita Pizza",x bageecha pizza x margherita pizza
"1 x Just Pepperoni Pide, 1 x Murgh Amritsari Seekh Pide, 2 x Cheesy Garlic Bread",x pepperoni pide x murgh amritsari seekh pide x cheesy garlic bread
"1 x Makhani Paneer Pizza, 1 x Just Pepperoni Pizza",x makhani paneer pizza x pepperoni pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Masala Paneer Pide",x murgh amritsari seekh pide x masala paneer pide
"1 x Masala Paneer Pide, 1 x Murgh Amritsari Garlic Bread",x masala paneer pide x murgh amritsari garlic bread
1 x Tripple Cheese Pizza,x tripple cheese pizza
"1 x Peri Peri Fries, 1 x All About Chicken Pizza, 1 x Mushroom Pizza, 1 x Indian Masala Fries, 1 x Jamaican Chicken Melt, 1 x Angara Paneer Melt, 1 x Bageecha Pizza, 1 x Just Pepperoni Pizza",x peri peri fry x chicken pizza x mushroom pizza x indian masala fry x jamaican chicken melt x angara paneer melt x bageecha pizza x pepperoni pizza
"1 x Angara Paneer Melt, 1 x Mushroom Mozzarella Melt",x angara paneer melt x mushroom mozzarella melt
